job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
53e4e96d79a629529fc21004,tensorflow,1,Terminated,1325825,1325882,600,29.296875,100,MISC
83b0034cec8565456d5f40dd,tensorflow,1,Terminated,1233047,1286608,600,29.296875,50,MISC
28d4b1afdc48a95f66bd2749,tensorflow,1,Failed,2628542,,600,29.296875,10,MISC
b5aa2d0d1001241a9b99a3ba,ps,4,Terminated,1150528,1162492,600,29.296875,,
153fec07185ead6665bd6d09,tensorflow,1,Terminated,3604995,3614627,600,29.296875,50,T4
c7bb2bc3a743ecf115aa23e9,evaluator,1,Terminated,3492725,3494143,600,29.296875,25,T4
d92d667558e103cc188b303c,xComputeWorker,1,Terminated,2452690,2452860,200,0.99609375,,
92838c390fc094ada2bea1e0,tensorflow,1,Running,3130127,,600,29.296875,100,P100
e651334430994a88fa4255dd,tensorflow,1,Failed,3153216,,600,29.296875,50,T4
155b962a72511397e3453f9a,PyTorchWorker,1,Failed,1591395,,1800,58.59375,100,MISC
aadc79a627cd4128898c0d7c,tensorflow,1,Terminated,3542979,3543003,600,29.296875,100,T4
918bb6712cd9803f02a23282,ps,1,Terminated,1255828,1256781,200,2,,
6f7f761e01ea89eb6526c7d8,worker,1,Terminated,1381890,1388664,800,19.53125,100,T4
b23179911950cbd6b4421d86,ps,1,Terminated,1963679,1963693,200,4,,
78a315502a01dcb6f6921447,worker,50,Running,2357208,,,,,
3da8d976dd20fc2a04c9d893,worker,1,Terminated,2069329,2069360,600,29.296875,100,MISC
008d6ff10d425caee9b1a800,tensorflow,1,Failed,1640662,,600,29.296875,100,MISC
aa1fce89f61abc4e014a9e3f,ps,1,Failed,2273600,,600,29.296875,,
60cdc7296925c21db887a4f8,tensorflow,1,Terminated,1653827,1654811,600,29.296875,25,MISC
347bea5c3db7936bc453fb2b,ps,10,Terminated,1683064,1684966,600,9.765625,,
ba7f3600c11f9cc1869aeca3,worker,20,Terminated,1616443,1616922,600,29.296875,50,T4
ec7e8260142ed0d864c0a86c,worker,20,Terminated,1291341,1294107,600,29.296875,10,T4
3eb7ce8ec14af77404ee3a24,tensorflow,1,Terminated,1498021,1499074,600,29.296875,100,MISC
fc3812249e2a76ec3cc3224e,tensorflow,1,Terminated,1455419,1455685,600,29.296875,25,MISC
c35f2f09ffd8553021621498,worker,30,Failed,2755820,,1200,48.828125,25,MISC
03051dac9b1f20de2542c695,ps,1,Running,2025043,,200,39.0625,,
da9d0ca6fa4decd777544b36,ps,1,Running,3398526,,400,9.765625,,
f628aa4c83af20aa8a6c2b0e,tensorflow,1,Terminated,2052116,2059027,600,29.296875,10,MISC
04873d39510e28c84bc6a42c,tensorflow,1,Failed,2741759,,600,29.296875,10,MISC
b1a86583cf6f68e765b3736b,worker,1,Terminated,2845513,2856178,600,29.296875,25,MISC
a6bbccb1bce1f4ec9ae11835,tensorflow,1,Terminated,1660770,1713843,600,29.296875,25,MISC
6b3ea90476a8150e0cb0152f,tensorflow,1,Terminated,2752710,2752812,100,29.296875,100,MISC
cc6fc83c6dd060b6fd7d6b1f,PyTorchWorker,50,Failed,2787131,,1800,58.59375,100,P100
bd617060b31e55176e67f642,worker,10,Terminated,2808422,2814158,600,29.296875,50,T4
5242c2cedd78a1dfb63a710b,TVMTuneMain,1,Terminated,2319009,2324453,1600,10.01953125,100,T4
91c9d7c9d125b8823848763c,worker,1,Terminated,2469307,2469523,600,29.296875,100,T4
9c19596aaa4495ff8c177371,worker,35,Waiting,,,,,,
c541d85533ce547ca7104cb4,ps,1,Terminated,2935948,2936973,600,29.296875,,
b3f66e91c2b194b9d5447485,PyTorchWorker,1,Running,2819829,,3200,46.875,200,MISC
e0699357983a5fb99612af82,tensorflow,1,Terminated,2820290,2834651,600,29.296875,100,MISC
956468bf70ff02ddf92642d2,tensorflow,1,Terminated,1925421,1933656,20,29.296875,10,MISC
6d2b780013a2877da4cbd2d9,worker,100,Running,2909859,,200,29.296875,10,T4
14134e63063036495046264b,worker,1,Terminated,1848430,1848676,600,29.296875,100,T4
0236137fec48a409fed1d94e,tensorflow,1,Terminated,2735519,2735589,600,29.296875,5,MISC
1030ae8dcc8008a3f14e2994,ps,1,Running,1756055,1756082,600,39.0625,,
8e5795ceb9c24646d34abd2a,xComputeWorker,1,Terminated,1579427,1580053,1000,19.55078125,50,T4
775b7fdea16ad738bd9c109e,tensorflow,1,Failed,1569069,,600,29.296875,25,MISC
c2390aeebc2ca8330ee13b9b,worker,20,Terminated,3111659,3112439,600,19.53125,100,P100
bf17518207c0a4ef41a8e8b6,worker,50,Terminated,3404014,3404368,400,19.53125,50,MISC
344d711dd186bdc7d947a110,tensorflow,1,Failed,2449667,,1200,29.296875,100,MISC
859676baa87671ddf70282ed,PyTorchWorker,1,Terminated,2450236,2476002,1800,58.59375,100,MISC
f90af036360a32b86ea4228b,tensorflow,1,Terminated,3663668,3664273,600,29.296875,100,MISC
c8ed079c44a9c4bc02aa80cd,tensorflow,1,Failed,3431274,,600,29.296875,10,MISC
ef76e45e0038345753222499,tensorflow,1,Terminated,1257189,1270345,20,29.296875,10,MISC
ec77c410e5dcc017e426361e,tensorflow,1,Terminated,1326387,1326456,600,29.296875,100,MISC
63bc19aef144fc89daba2035,ps,1,Terminated,3569952,3584191,600,29.296875,,
a8e3010850a3cc062d5985ec,PyTorchWorker,4,Terminated,1792531,1793416,1800,58.59375,100,MISC
851e2b3b1c5e04d8c5e74a39,tensorflow,1,Terminated,1852881,1853051,600,29.296875,25,MISC
ce7f61515f66af2caba5db12,ReduceTask,1,Terminated,1749183,1754322,100,1.97265625,,
d41d51f2c6d4174eb4aafaa6,tensorflow,1,Terminated,1590793,1590845,600,29.296875,100,MISC
b0247a41c16581dbabae076c,ps,1,Terminated,1227764,1227777,100,2,,
f6c08f94265013d656b582d4,PyTorchWorker,1,Terminated,2218119,2218135,1800,58.59375,100,MISC
b9b65eea61bc560c38628a7d,worker,80,Terminated,3028751,3093250,300,6.8359375,25,P100
149e02aad705b9bbc8d944a6,PyTorchWorker,1,Failed,3068510,,1800,58.59375,400,V100
8be8082737bf6e3238c82ca3,tensorflow,1,Terminated,1905260,1912534,600,29.296875,100,MISC
435fe5a4463ba25fca76c1b1,tensorflow,1,Terminated,1868884,1892591,600,29.296875,10,MISC
7441186ccc4341204b83ba07,tensorflow,1,Terminated,2400434,2402287,600,29.296875,100,MISC
ddba8d090d3ea533bd32c75f,worker,20,Terminated,1453422,1453723,400,4.8828125,100,MISC
feb3aa63fe0a914ea11dfa9e,tensorflow,1,Terminated,2288680,2303837,600,29.296875,100,MISC
9d679ec919d94046026c6e0c,worker,1,Terminated,1316910,1316991,600,29.296875,25,MISC
d67de6ab8358af7a2bfabddb,ReduceTask,1,Terminated,3703821,3708513,100,1.97265625,,
0f347f611eeeb19e448724a0,TensorboardTask,1,Terminated,3686956,3688186,800,31.26953125,,
2bdb8edb8def167b986825b8,worker,50,Failed,3068130,,600,4.8828125,25,MISC
1c9a59d63365054669a16189,worker,1,Terminated,1334720,1334946,600,29.296875,100,T4
fabb9a5f43e9a7fe3bb5142e,tensorflow,1,Failed,3254882,,20,29.296875,10,MISC
f347eb73286e7d34f8af8db3,tensorflow,1,Failed,3263197,,20,29.296875,10,MISC
feccae79d827eea281a990c1,tensorflow,1,Terminated,1504554,1511947,600,29.296875,10,MISC
a5142e384cb34a757d4baaed,worker,1,Terminated,1501870,1502127,600,29.296875,100,T4
50b993938f96314e8ebb4865,tensorflow,1,Terminated,1332188,1332219,600,29.296875,25,MISC
aefb7cc656409538b3440283,worker,400,Running,1599897,,600,29.296875,20,V100M32
ea2147953fb0b61d5f21252a,tensorflow,1,Failed,1530821,,600,29.296875,50,T4
723304ff1dd33335ad374ab0,worker,5,Running,2788435,,600,29.296875,100,T4
35843dc3c32941dcba8d47b5,xComputeWorker,1,Terminated,2788244,2788258,200,0.99609375,,
816af8560d6bfbfb5bdd7bc8,tensorflow,1,Terminated,2915545,2915622,600,29.296875,100,MISC
6d2b780013a2877da4cbd2d9,evaluator,1,Running,2909856,,400,15.625,,
bf49f1ad254e6b955220f4e0,PyTorchWorker,1,Failed,2870012,,1800,58.59375,100,P100
69906a4e04479d01d70202e4,tensorflow,1,Terminated,1936137,1936193,600,29.296875,100,MISC
f245c7d7e32cfd31b4bb85e5,PyTorchWorker,1,Running,1940790,,1500,39.0625,100,MISC
04e419b5f9a79129f52cef67,PyTorchWorker,1,Running,3487387,,,,,
745df088c000983f94bfa08f,tensorflow,1,Terminated,3422669,3436634,600,29.296875,10,MISC
a90bf79d3275225401d3d6db,tensorflow,1,Terminated,1666307,1666615,600,29.296875,100,MISC
a54a7bef1e530f133bfb5151,ps,5,Terminated,1946933,1985627,600,9.765625,,
ab932dfbe2bd6e56f5830e60,tensorflow,1,Terminated,3206144,3212183,600,29.296875,50,MISC
beff8d87183f9b3590945751,worker,20,Terminated,1328825,1329231,300,9.765625,25,MISC
592725214c16969705a9e7cc,PyTorchWorker,1,Terminated,1334791,1340310,1800,58.59375,100,MISC
b1a86583cf6f68e765b3736b,ps,1,Terminated,2845510,2856236,600,29.296875,,
56a7a58935ffc53b3e8d9b11,worker,1,Failed,2834994,,500,117.1875,200,T4
02930cff943ac5b9a61568fb,tensorflow,1,Terminated,2946412,2946865,600,29.296875,100,MISC
b540eda6eda0c266b971f141,ps,1,Terminated,1783861,1783958,200,39.0625,,
67d3c8f11d967bb959f10f41,tensorflow,1,Terminated,3148054,3155010,600,29.296875,10,MISC
b5496f33c92f0eae4329a68c,worker,1,Terminated,3152695,3152927,600,29.296875,100,MISC
fe1f54ec45ebefcebc66fe5b,worker,1,Failed,2356770,,600,29.296875,100,MISC
c04762639d0035bf3856b7d1,tensorflow,1,Terminated,2480417,2483320,100,29.296875,25,MISC
36b82f1a3a29901a48c65d06,worker,8,Terminated,1823139,1823343,600,29.296875,100,T4
63740488a31263a0d9be36b6,tensorflow,1,Terminated,1715680,1717036,600,29.296875,100,P100
1484b0b51079abb6da36fd92,ps,1,Terminated,3312568,3315103,600,29.296875,,
96fd81b131f74f5ddf95df03,TensorboardTask,1,Terminated,2943290,2945811,100,1.97265625,,
ee7bfdf0bead130449d2be05,tensorflow,1,Running,3341826,,600,29.296875,100,T4
cac9a5efb1dcf7cc9633b3f2,tensorflow,1,Terminated,3419832,3419856,600,29.296875,5,MISC
21e7d8147fe0ef2b2a7a40f5,ps,1,Terminated,1913112,1914059,600,3.90625,,
73def54da0cc80ba48da3a27,tensorflow,1,Terminated,3005304,3010262,600,29.296875,100,MISC
cfcfe32b8643469aba60c1bd,worker,25,Terminated,3040379,3047066,600,2,25,T4
abee4ed0a7b2991e072418fb,tensorflow,1,Terminated,2997922,2997964,600,29.296875,10,MISC
7bb3358d3f13860728a067c6,tensorflow,1,Terminated,3602743,3602771,600,29.296875,5,MISC
851c0890083cefcfbaef39a1,tensorflow,1,Running,1872793,,600,29.296875,200,T4
9dfda9119863fde802c68050,tensorflow,1,Terminated,1939280,1944546,600,29.296875,10,MISC
e6393875ed2b7ede57a24ba2,tensorflow,1,Failed,1442452,,600,29.296875,50,T4
1dcce60a209a5ec29525e2cc,worker,5,Terminated,3385735,3385871,600,29.296875,100,P100
796ef567b1716d44451c80f4,tensorflow,1,Terminated,3380745,3380786,600,29.296875,25,MISC
aff397563f5eb6f49a88312c,ps,10,Terminated,2717380,2717614,100,2.9296875,,
65e5710a6c0782dd69a98865,tensorflow,1,Terminated,2446950,2450776,600,29.296875,100,MISC
cc3b63fe492c8f724a552186,worker,8,Running,2454941,,,,,
de19c6546057974394c572ef,tensorflow,1,Terminated,2676823,2676867,600,29.296875,100,T4
b83e6647ea4e223197493e43,tensorflow,1,Failed,2738113,,600,29.296875,50,T4
e54f7ef1436b6a24fd31b85e,worker,2,Terminated,3293388,3293434,600,29.296875,5,T4
d91b54d74b26589e3cc99052,tensorflow,1,Running,2271986,,600,29.296875,100,P100
74863d590ce4c2c531f5e9ca,tensorflow,1,Failed,2360214,,600,29.296875,100,MISC
0bc8ee204a68846898818bae,tensorflow,1,Terminated,1087037,1142153,600,29.296875,400,V100
52713958db9bde4ae5bc7ba9,PyTorchWorker,1,Failed,1138901,,1800,58.59375,100,T4
83804d9d000ea7cad4e6a5b7,worker,30,Terminated,2633131,2634379,600,29.296875,25,MISC
5a9688e01f98a64a053d1946,tensorflow,1,Failed,2085638,,600,29.296875,100,MISC
70512c5bad1d84b1182c4601,tensorflow,1,Terminated,2944647,2945211,600,29.296875,100,MISC
2632c83114016d951fe0190d,worker,50,Terminated,1533532,1534029,1600,29.296875,50,T4
27c3f145c8015374baae41f4,worker,4,Terminated,2784012,2787980,600,2,25,T4
0e1e3e97a92ac9d8d9194efb,PyTorchWorker,1,Terminated,1316219,1333981,1800,58.59375,100,MISC
88c0ae67b60f39d328699e72,tensorflow,1,Failed,2175530,,600,29.296875,100,MISC
ba3a72012463a59595cef25f,tensorflow,1,Terminated,1319693,1319830,600,29.296875,25,MISC
3eefd650cf8ced34b0a7fc5f,worker,60,Running,3633955,,600,4.8828125,50,MISC
cefdaa51a24d0d569fac2506,tensorflow,1,Terminated,3655197,3656157,600,29.296875,25,MISC
cfcfe32b8643469aba60c1bd,ps,1,Terminated,3040376,3040389,100,2,,
ca1e6001bef105c431f10246,tensorflow,1,Failed,1667638,,600,29.296875,100,MISC
ba581a1939360102a4bc536a,tensorflow,1,Terminated,2364657,2369939,600,29.296875,200,T4
6983a65ba35453ca412f060f,tensorflow,1,Terminated,1825520,1998680,600,29.296875,100,MISC
da9d0ca6fa4decd777544b36,worker,2,Running,3398528,,1600,58.59375,100,P100
4ca0d05bab2af565295bc3da,ps,3,Terminated,1147741,1148597,500,19.53125,,
4ba2780bc3cd4b5ae2d70e31,tensorflow,1,Terminated,1596003,1602237,600,29.296875,100,V100
34778a032adca456f337763c,tensorflow,1,Terminated,3494966,3495001,600,29.296875,50,T4
4a61e41bcf4b46c98a3b5b31,tensorflow,1,Failed,2212625,,600,29.296875,10,MISC
500efa918d558eec3ae03446,worker,50,Terminated,2349949,2354805,1600,29.296875,100,P100
fe1f54ec45ebefcebc66fe5b,ps,1,Running,2356766,2356897,600,29.296875,,
ebe9a4bd28fb694e5cdea2f8,ps,5,Terminated,2379618,2382662,600,9.765625,,
48ba33eca6960f2ec8a17310,tensorflow,1,Terminated,2366838,2367169,100,29.296875,200,MISC
21e7d8147fe0ef2b2a7a40f5,worker,20,Terminated,1913115,1913999,800,19.53125,50,MISC
b5dc2f77f965fab213e048b0,tensorflow,1,Terminated,1288201,1289439,600,29.296875,50,MISC
